language,family
Makurap,Tupian
Maká,Mataguayan
Malak malak,Not found
Maleku Ihaíca,Not found
Maliseet-Passamaquoddy,Algic
Malkana,Pama-Nyungan
Malpa,Pama-Nyungan
Malyangaba,Not found
Mam/Qyool,Not found
Mamangathi,Not found
Mandan,Siouan
Mandandanji,Pama-Nyungan
Mandjindja,Not found
Manekenke,Not found
Mangala,Pama-Nyungan
Mangarayi,Mangarrayi-Maran
Manjui / Chorote Iyo’wujwa,Not found
Mansos,Not found
Mapoyo,Cariban
Mapudungun,Araucanian
Mara,Sino-Tibetan
Maranunggu,Western Daly
Margany,Pama-Nyungan
Maricopa,Cochimi-Yuman
Marramaninjsji,Western Daly
Marrett River,Not found
Marringarr,Western Daly
Marrithiyel,Western Daly
Martu Wangka,Pama-Nyungan
Martuthunira,Pama-Nyungan
Marubo,Pano-Tacanan
Massachuset,Not found
Matagalpa,Misumalpan
Matawai,Not found
Matipu,Cariban
Matis,Pano-Tacanan
Matlatzinco/Tlahuica/Ocuiltec,Not found
Matlatzinco/matlatzinteca,Not found
Matsigenka,Arawakan
Matsés,Pano-Tacanan
Mattole,Athabaskan-Eyak-Tlingit
Maung,Iwaidjan Proper
Mawayama,Not found
Maxakalí,Nuclear-Macro-Je
Maya,Mayan
Mayi-Kulan,Pama-Nyungan
Mayi-Kutuna,Pama-Nyungan
Mayi-Thakurti,Pama-Nyungan
Mayi-Yapi,Pama-Nyungan
Mazatec,Otomanguean
Mbabaram,Pama-Nyungan
Mbara,Pama-Nyungan
Mbeiwum,Pama-Nyungan
Mbukarla,Unknown
Mbya,Tupian
Mebengokré,Not found
Meeramuni,Not found
Meherrin,Unclassifiable
Mehináku,Arawakan
Menominee,Algic
Mer,Mairasic
Meriam Mir,Eastern Trans-Fly
Meru,Atlantic-Congo
Mexicanero (Nahuatl),Not found
Mexicano (alto de occidente),Not found
Mexicano (central bajo),Not found
Mexicano (de Puente de Ixtla),Not found
Mexicano (de Temixco),Not found
Mexicano (de Tetela del Volcán),Not found
Mexicano (de la Huasteca hidalguense),Not found
Mexicano (del centro alto),Not found
Mexicano (del centro bajo),Not found
Mexicano (del centro),Not found
Mexicano (del noroeste),Not found
Mexicano (del oriente central),Not found
Mexicano (del oriente de Puebla),Not found
Mexicano (del oriente),Not found
Miami,Algic
Michif,Algic
Mikisúkî-Hitchiti,Not found
Millcayac-Allientac,Not found
Minang,Austronesian
Mingin,Not found
Minyangbal,Pama-Nyungan
Miraña,Not found
Mirning,Not found
Miskito,Misumalpan
Mississauga/Eastern Anishinaabemowin (Ojibwe),Not found
Mithaka,Pama-Nyungan
Mitsqanaqan (Ventureño),Not found
Miwa,Worrorran
Miyan,Not found
Mi’kmaq,Not found
Mobilian Jargon,Pidgin
Modoc,Unknown
Mohegan,Algic
Mojave,Cochimi-Yuman
Mojeño Ignaciano,Not found
Mojeño Trinitario,Not found
Mokaná,Not found
Molala,Unknown
Monacan,Not found
Monqui,Unclassifiable
Montauk,Not found
Mopán,Mayan
Morrobolam,Pama-Nyungan
Moré,Chapacuran
Mosetén,Unknown
Mountain Maidu,Maiduan
Movima,Unknown
Mpalitjanh,Not found
Mudburra,Pama-Nyungan
Munduruku,Tupian
Munichi,Unknown
Munsee Delaware,Algic
Mura,Unknown
Murrinh-patha,Southern Daly
Murui-Muinanɨ,Not found
Muruwari,Pama-Nyungan
Mutsun,Miwok-Costanoan
Mutyanthi,Not found
Muysccubun,Not found
Mvskoke (Muscogee),Not found
Myakufutsu,Not found
Naahmigus,Not found
Nadut’en (Babine-Wet’suwet’en),Not found
Nadöb,Naduhup
Nafusi,Afro-Asiatic
Nahua,Not found
Nahuatl (mexicano bajo de occidente),Not found
Nahukwá,Not found
Nakako,Not found
Nakara,Maningrida
Nakota,Not found
Nambiquara do norte,Not found
Nambiquara do sur,Not found
Namtrik,Not found
Nana,Pama-Nyungan
Nansemond,Not found
Nanti,Arawakan
Nanticoke,Algic
Narangga,Pama-Nyungan
Nari Nari,Not found
Nasa Yuwe,Unknown
Natchez,Unknown
Natsilingmiutut,Eskimo-Aleut
Nauset,Not found
Nawat,Uto-Aztecan
Nawu,Not found
Nayeeri (Cora),Not found
Ndé Bizaa’ (Mescalero Apache),Not found
Nedut’en,Not found
Nehantic,Not found
Nespelem-Sanpoil,Not found
Neusiok,Not found
New River Shasta,Shastan
Ngaanyatjarra,Pama-Nyungan
Ngadhugudi,Not found
Ngadjuri,Pama-Nyungan
Ngalakan,Gunwinyguan
Ngalawangka,Not found
Ngalea,Not found
Ngaliwuru,Mirndi
Ngalkbun,Gunwinyguan
Ngamini,Pama-Nyungan
Ngandi,Gunwinyguan
Ngandji,Mirndi
Nganduwal,Not found
Nganyaywana,Pama-Nyungan
Ngan’gikurunggurr,Not found
Ngan’giwumirri,Not found
Ngargad,Not found
Ngarigo,Not found
Ngarinman,Pama-Nyungan
Ngarinyin,Worrorran
Ngarla,Pama-Nyungan
Ngarluma,Pama-Nyungan
Ngarrindjeri,Pama-Nyungan
Ngarti,Pama-Nyungan
Ngatatjara,Pama-Nyungan
Ngatjumay,Pama-Nyungan
Ngawun,Pama-Nyungan
Ngiba/Ngiwa,Not found
Ngombur,Unattested
Ngoorabul,Not found
Nguburinji,Not found
Ngumbarl,Nyulnyulan
Ngunawal,Not found
Nguri,Not found
Ngurraiillam,Not found
Ngäbere,Chibchan
Nhanta,Pama-Nyungan
Nheengatu/Yeral,Not found
Nhuwala,Pama-Nyungan
Nicarao,Uto-Aztecan
Niigugis,Not found
Nimanburu,Not found
Nipmuc,Algic
Nisenan,Maiduan
Nisg̱a’a,Not found
Nivaclé,Mataguayan
Noctén,Not found
Nomatsigenga,Arawakan
Nomlaki,Not found
Nongatl,Athabaskan-Eyak-Tlingit
Nonuya,Huitotoan
Nooksak,Not found
Noongar,Not found
North Baffin Qikiqtaluk uannangani,Not found
North Sámi,Not found
North Tiwa,Not found
Northeastern Pomo,Pomoan
Northern Paiute,Uto-Aztecan
Northern Pomo,Pomoan
Northern Sierra Miwok,Miwok-Costanoan
Northern Yukian,Yuki-Wappo
Northwestern Anishinaabe (Ojibwa),Not found
Nsyilxcən (N̓syil̓xčn̓) (N̓səl̓xčin̓),Not found
Nukak,Kakua-Nukak
Nukini,Pano-Tacanan
Nukunu,Pama-Nyungan
Nunatsiavummiutut,Eskimo-Aleut
Nungali,Mirndi
Nunggubuyu,Gunwinyguan
Nuučaan̓uɫ,Wakashan
Nuxalk,Salishan
Nyaki-nyaki,Not found
Nyamal,Pama-Nyungan
Nyanganyatjara,Pama-Nyungan
Nyangbal,Not found
Nyangumarda,Pama-Nyungan
Nyawaygi,Pama-Nyungan
Nyikina,Nyulnyulan
Nyul Nyul,Nyulnyulan
Náhuatl,Not found
Náhuatl (alto del norte de Puebla),Not found
Náhuatl (central de Veracruz),Not found
Náhuatl (de Oaxaca),Not found
Náhuatl (de la Huasteca potosina),Not found
Náhuatl (de la Huasteca veracruzana),Not found
"Náhuatl (de la Sierra negra, norte)",Not found
"Náhuatl (de la Sierra negra, sur)",Not found
Náhuatl (de la Sierra oeste de Puebla),Not found
"Náhuatl (de la Sierra, noreste de Puebla)",Not found
Náhuatl (del Istmo bajo),Not found
Náhuatl (del Istmo),Not found
Náhuatl (del centro de Puebla),Not found
Náhuatl (del noreste central),Not found
